gap_id,source_item_id,group,gap_type,severity,poam_required,controls,linked_ksi_ids,recommended_artifact,recommended_validation,owner,status,due_date,title
gap-0001-inventory-mismatch,1,inventory,inventory_mismatch,high,no,"CM-8, CM-8(1), CM-8(3)",KSI-INV-01,declared_inventory.csv reconciled against discovered_assets.json,Run CM8_INVENTORY_RECONCILIATION on the produced CSV+JSON,CSP Eng,Open,2026-04-19,"Inventory mismatch: Provide the latest Integrated Inventory Workbook (IIW) plus an authoritative AWS account dump (EC2, RDS, ELB/ALB, S3, VP"
gap-0002-inventory-mismatch,2,inventory,inventory_mismatch,high,no,"CM-8, CA-7",KSI-INV-01,declared_inventory.csv reconciled against discovered_assets.json,Run CM8_INVENTORY_RECONCILIATION on the produced CSV+JSON,CSP Eng,In Progress,2026-04-22,Inventory mismatch: Inventory of Load Balancers (ALB/NLB) and S3 buckets including IP ranges and public-exposure flag.
gap-0003-credentialed-scan-evidence-missing,3,scanner_vulnerability,credentialed_scan_evidence_missing,high,yes,"RA-5, RA-5(3), RA-5(5)",KSI-VULN-01,scanner_targets.csv with credentialed=true + plugin/profile evidence,Verify scanner_targets.credentialed flag in RA5_SCANNER_SCOPE_COVERAGE,Vuln Mgmt,Open,2026-04-26,Credentialed scan evidence missing: Provide the Nessus scan target list and credentialed-scan profile evidence for the boundary; show that all in-boundary a
gap-0004-vulnerability-scan-evidence-missing,4,scanner_vulnerability,vulnerability_scan_evidence_missing,high,yes,"RA-5, SI-2",KSI-VULN-01,scanner_findings.json export from latest credentialed scan,Re-import via `import-findings --format prowler|ocsf`,Vuln Mgmt,Open,2026-04-26,Vulnerability scan evidence missing: Latest Nessus vulnerability scan reports (full scope) plus Burp web-app scan signatures and any deltas vs. prior cycle.
gap-0005-exploitation-review-missing,5,scanner_vulnerability,exploitation_review_missing,critical,yes,RA-5(8),"KSI-VULN-01, KSI-IR-01",scanner_findings.json finding with exploitation_review.queries[] + log_review_performed=true,Run RA5_EXPLOITATION_REVIEW,SOC,Open,2026-05-03,Exploitation review missing: Exploitation review for all High/Critical vulnerabilities open >30 days. Show IoC search and historical audit log review
gap-0006-local-to-central-log-correlation-missing,6,logging,local_to_central_log_correlation_missing,high,yes,"AU-2, AU-3, AU-6, AU-12",KSI-LOG-01,central_log_sources.json plus a local audit log sample correlated with the central index,AU6_CENTRALIZED_LOG_COVERAGE local-vs-central correlation must show seen_last_24h=true,Logging,Open,2026-04-19,"Local to central log correlation missing: Demonstrate centralized audit log aggregation: provide Splunk dashboards/searches showing CloudTrail, VPC Flow Logs, Clo"
gap-0007-alert-sample-missing,7,alerting,alert_sample_missing,high,yes,"AU-6, SI-4","KSI-LOG-01, KSI-IR-01",sample_alert_ref pointing at an executed alert export,SI4_ALERT_INSTRUMENTATION requires sample_alert_ref to be non-empty,SOC,Open,2026-04-26,"Alert sample missing: Provide the alert rules / saved searches with recipient lists (SOC, IR, IAM Governance) and at least one example alert t"
gap-0008-response-action-missing,8,alerting|incident_response,response_action_missing,high,yes,"SI-4(1), SI-4(4)",KSI-IR-01,tickets.json entry citing the alert with documented response,Run CROSS_DOMAIN_EVENT_CORRELATION (alert -> ticket linkage),SOC,Open,2026-05-03,"Response action missing: List CloudWatch alarms and GuardDuty findings considered ""suspicious activity""; map each to a documented response action"
gap-0009-sia-missing,9,change_management,sia_missing,high,yes,"CM-3, SI-2",KSI-CM-01,tickets.json field security_impact_analysis=true with SIA attachment,CM3_CHANGE_EVIDENCE_LINKAGE expects security_impact_analysis=true,Change Mgmt,Open,2026-04-26,"Sia missing: Sample change tickets in JIRA with full evidence chain: Security Impact Analysis, testing artifacts, CAB approval, deplo"
gap-0010-deviation-request-missing,10,poam,deviation_request_missing,moderate,yes,CA-5,KSI-VULN-01,poam.csv row with deviation_request_ref + approval evidence,Validate poam.csv deviation columns then re-run CA5_POAM_STATUS,GRC,In Progress,2026-04-30,"Deviation request missing: POA&M updates: Provide the current POA&M with deviation requests, vendor dependencies, and operational requirements clea"
gap-0011-response-action-missing,11,alerting|incident_response,response_action_missing,high,yes,"IR-4, IR-6",KSI-IR-01,tickets.json entry citing the alert with documented response,Run CROSS_DOMAIN_EVENT_CORRELATION (alert -> ticket linkage),IR,Open,2026-05-10,"Response action missing: Incident response evidence: any suspected or confirmed incidents in the past 12 months, including US-CERT/CISA notificat"
gap-0012-crypto-fips-evidence-missing,12,crypto,crypto_fips_evidence_missing,high,no,"SC-13, SC-28, SC-12",KSI-LOG-01,FIPS 140-2/3 module list + KMS rotation export + cipher policy,Verify FIPS module list + KMS rotation (manual review),Crypto,Open,2026-04-26,"Crypto fips evidence missing: FIPS 140-2/3 evidence: list crypto modules in use (AWS KMS, ALB ciphers, RDS encryption-at-rest), cipher list, and key r"
gap-0013-restore-test-missing,13,recovery,restore_test_missing,high,yes,"CP-9, CP-10",KSI-REC-01,restore_tests.json with measured RTO/RPO,Validate restore_tests.json + measured RTO/RPO (manual review),Ops,Open,2026-05-10,Restore test missing: Backup and recovery evidence: most recent restore test (RTO/RPO measurements) and snapshot evidence for RDS + AMI snapsh
gap-0014-identity-listing-missing,14,identity_access,identity_listing_missing,high,no,"AC-2, AC-2(7), AC-6",KSI-IAM-01,identity_users.json + privileged-account flag + MFA report,Run AGENT_PERMISSION_SCOPE / IAM review (manual + automated),IAM Governance,Open,2026-04-26,"Identity listing missing: Account listings: full IAM user list with privileged-account tagging, MFA report, and most recent quarterly access revie"
gap-0015-traffic-flow-policy-missing,15,network_boundary,traffic_flow_policy_missing,high,no,"SC-7, SC-7(11)",KSI-INV-01,data-flow diagram + security_group inventory + ports/protocols matrix,Validate SG inventory + DFD against authorization-scope.yaml,Network,Open,2026-04-26,"Traffic flow policy missing: Traffic flow / boundary evidence: data flow diagram, security group inventory with ingress/egress rules, and the ports-a"
